municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,lat1,long,geo_method,geo,has_expired_protections
Sacramento,California,United States,City,38.5815719,-121.4943996,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Moratoriums on evictions of residential and commercial tenants who demonstrate inability to pay due to COVID-19, the related state of emergency, or government-recommended precautions. Tenants must notify landlords in writing before rents are due of the reasons for delayed payments, provide verifiable documentation, pay any portions they are able, and are still liable for any unpaid portions after the emergency expires.",Legistlative Eviction Protection,https://www.cityofsacramento.org/-/media/Corporate/Files/CDD/Code-Compliance/Programs/FINAL-FAQ-TEMPORARY-MORATORIUM-ON-TENANT-EVICTIONS-DUE-TO-COVID-MAR182020.pdf?la=en,Sacramento Tenants Union,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",5,8,2,3,-6.5,-2,-1,0,0,1.5,0,USA,2,,,,,FALSE
Sacramento County,California,United States,County,38.4732259,-121.2980707,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Tenants would have to notify their landlords before rent is due that they cannot pay the full rent amount because of a covered reason, and instead pay as much rent as they can. Renters would then have up to 120 days, or roughly four months, after California’s state of emergency declaration is removed to pay back the deferred rent. Tenants would have to provide documentation to landlords that they’ve lost income because: ▪ They were sick with, or caring for a family member sick with COVID-19. ▪ They experienced a layoff, loss of hours or other income reduction resulting from COVID-19 or the state of emergency. ▪ They were complying with a recommendation from a government agency to stay home, self quarantine or avoid congregating with others during the state of emergency. ▪ They needed to miss work to care for a home-bound school-age child.",Legistlative Eviction Protection,https://www.saccounty.net/news/Documents/Item%2035%20Resolution.PDF,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",7,8,2,3,-5.5,-2,0,0,0,1.5,0,USA,2,,,,,TRUE
Salinas,California,United States,City,36.6744117,-121.6550372,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Eviction moratorium for non-payment of rent due to Covid-19,Legistlative Eviction Protection,https://caanet.org/app/uploads/2020/04/Salinas-Eviction-Moratorium-secured.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14.5,8,2,3,0,0,0,0,0,1.5,0,USA,2,,,,,TRUE
San Antonio,Texas,United States,City,29.4246002,-98.4951405,TRUE,,,,,"San Antonio officials announced a $25 million emergency housing assistance program. Evictions for non criminal activity are suspended in public housing, Beacon mixed-income housing, and housing that take Section 8 vouchers.  A proposal to extend the grace period for renters facing eviction was killed in a 5-6 vote by San Antonio City Council.",Legistlative Eviction Protection,https://www.texastribune.org/2020/05/01/texas-evictions-coronavirus-renters/,,Eviction Cases can Resume (Remote or In-Person),The Texas Supreme Court's most recent order states that eviction proceedings may resume on 5/19; written warnings may be posted and writs may be issued starting on 5/26. Landlords must certify that properties are not subject to CARES Act.,24.5,8,0,3,0,0,0,0,0,13.5,0,USA,3,,,,,FALSE
San Bernardino,California,United States,City,34.8253019,-116.0833144,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants have 30 days after date rent is due to notify landlords in writing of inability to pay, and will have up to 6 months following termination of the state emergency declaration to repay any back due rent. Landlords are barred from collecting late fees.",Legistlative Eviction Protection,https://www.sbcity.org/civicax/filebank/blobdload.aspx?blobid=28161,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
San Bernardino,California,United States,City,34.8253019,-116.0833144,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Tenants have 30 days after date rent is due to notify landlords in writing of inability to pay, and will have up to 6 months following termination of the state emergency declaration to repay any back due rent. Landlords are barred from collecting late fees.",Legistlative Eviction Protection,https://www.sbcity.org/civicax/filebank/blobdload.aspx?blobid=28161,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
San Bernardino,California,United States,County,34.8253019,-116.0833144,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents.,Legistlative Eviction Protection,https://sanbernardino.legistar.com/View.ashx?M=F&ID=8220388&GUID=A2B1E0F6-3731-437D-93E0-F107B6008725,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14.5,8,2,3,0,0,0,0,0,1.5,0,USA,2,,,,,TRUE
San Bernardino,California,United States,County,34.8253019,-116.0833144,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents.,Legistlative Eviction Protection,https://sanbernardino.legistar.com/View.ashx?M=F&ID=8220388&GUID=A2B1E0F6-3731-437D-93E0-F107B6008725,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14.5,8,2,3,0,0,0,0,0,1.5,0,USA,2,,,,,TRUE
San Bruno,California,United States,City,37.6304904,-122.4110835,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all evictions for commercial tenants with $5 million or less in gross annual receipts who demonstrate COVID-19 related inabilities to pay rents. Tenants must provide documentation ""as soon as is reasonably practical"" and within 14 days of receiving required notice from landlord. Tenants have 90 days plus an additional 30 day extension to repay back-due rent. Note: Residential tenants are covered by San Mateo County moratorium.",Legistlative Eviction Protection,https://www.smdailyjournal.com/news/local/san-bruno-bans-small-business-evictions/article_6e66b874-8dac-11ea-9b31-0798c260c6f5.html,San Mateo Legal Aid,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12.5,8,2,3,-1,0,-1,0,0,1.5,0,USA,2,,,,,TRUE
San Buenaventura,California,United States,City,34.2783355,-119.2931743,TRUE,,,,,Eviction moratorium for non-payment of rent due to Covid-19 and for no-fault evictions.,Legistlative Eviction Protection,https://www.cityofventura.ca.gov/DocumentCenter/View/20945/O-2020-014-Amendment-Temp-Eviction-Moratorium,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,4,3,-5.5,-2,-1,3,0,1.5,1,USA,2,,,,,FALSE
San Diego,California,United States,City,32.7174209,-117.1627714,TRUE,2020-09-30 07:00:00,2020-09-30 07:00:00,,,"No landlord shall take action to evict a tenant for not timely paying rent that was due on or after March 12, 2020, if the tenant provided written notice to the landlord, on or before the date the rent was due, that the tenant is unable to pay rent due to financial impacts related to COVID-19.",Legistlative Eviction Protection,https://caanet.org/app/uploads/2020/03/San-Diego-Eviction-Moratorium-secured.pdf,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",11,8,2,3,-6.5,0,-1,3,0,1.5,1,USA,2,,,,,FALSE
San Diego County,California,United States,County,32.9637838,-116.7706277,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"San Diego County enacted a moratorium on all evictions of residential and commercial renters in the unincorporated areas who have seen their income reduced or been otherwise substantially economically harmed by the COVID-19 pandemic. Even with the moratorium in place, affected residents would still be required to pay back the rent owed at a later date if they miss a payment. As part of the same proposal, supervisors also approved placing a freeze on foreclosures and foreclosure-related evictions.",Legistlative Eviction Protection,https://www.sandiegouniontribune.com/news/politics/story/2020-03-24/san-diego-county-approves-moratorium-on-residential-and-commercial-evictions-for-those-impacted-by-covid-19,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",11.5,8,2,3,2,0,-5,0,0,1.5,0,USA,2,,,,,TRUE
San Francisco,California,United States,City,37.7790262,-122.4199061,TRUE,2020-07-19 07:00:00,2020-09-30 07:00:00,2021-01-31 08:00:00,2020-07-19 07:00:00,"Moratorium on evictions for residential tenants for most types of evictions (including Ellis Act, but not evictions related to violence, threats of violence, health or safety issues). Also provides for extensions for non-medical reasons. Tenants have 30 days after date rent is due to notify landlords in writing of inability to pay EACH TIME (e.g., every month), and must document inability to pay within 7 days of providing that notice. 

Tenant automatically receives an additional 30 days to pay. If the tenant then fails to pay, landlord must: (i) inform the tenant in writing of the breach and attempt in good faith to develop a payment plan. Ultimately, the tenant will have up to 6 months following termination of the emergency declaration to repay any back-due rent. 

Moratorium on evictions of commercial tenants licensed to operate in San Francisco and with less than $25 million in annual gross receipts. Tenants have 3 months after the expiration of the Local Emergency to pay back rent. Landlords cannot charge interest or late fees during the Local Emergency Period. 

3/15/20 Mayor Breed Executive Order imposing a temporary moratorium on eviction for non-payment of rent by residential tenants directly impacted by the novel coronavirus crisis. Effective during the state of emergency. 3/17/20 Mayor Breed Executive Order for Commercial Tenants effective during the state of emergency. As of 6/9, nonpayment evictions permanently banned in SF for COVID-19 debt.

Pursuant to the Mayor's June 26, 2020 Order, a landlord cannot evict a residential tenant for a missed rent payment that became due during the Eviction Moratorium
until January 31, 2021 or later (six months after the Mayor's Order expires), provided both (a) and (b) apply:

a. The missed rent payment became due after March 13, 2020, but before the expiration of the Eviction Moratorium (currently July 31, 2020,   but may be extended). The tenant was unable to pay rent because of financial impacts related to COVID-19.

b. At the time of the missed rent payment, the tenant should notify the landlord and provide supporting documentation if they are unable to pay rent due to financial impacts of COVID-19. 

On March 18, 2020, the San Francisco Superior Court stayed all actions of unlawful detainer cases (eviction lawsuits) for 90 days, until June 19, 2020,


https://sfrb.org/temporary-eviction-moratorium",Legistlative Eviction Protection,https://sfmayor.org/sites/default/files/Twelfth_Supplement_043020.pdf,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",30.5,10,7,3,2,1,-1,3,-1,7.5,-1,USA,3,,,,,FALSE
San Gabriel,California,United States,City,34.0991325,-118.1086041,TRUE,,,,,"Emergency moratorium on evictions of residential and commercial tenants who demonstrate COVID-19 related inabilities to pay rents. Just Cause provisions remain in effect. Tenants have 14 days after date rent is due to notify landlords in writing of and document inability to pay, and will have up to 180 days to repay any back-due rent. Landlords are barred from collecting late fees",Legistlative Eviction Protection,http://sangabrielcity.com/DocumentCenter/View/12770/Urgency-Ordinance-No-668,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,8,2,3,-5.5,0,-1,0,0,1.5,0,USA,2,,,,,FALSE
San Joaquin,California,United States,County,37.9372901,-121.2773719,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,Emergency moratorium on all residential and commercial evictions for tenants who demonstrate COVID-19 related inabilities to pay rents,Legistlative Eviction Protection,http://sanjoaquincountyca.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2325&Inline=True,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",14.5,8,2,3,0,0,0,0,0,1.5,0,USA,2,,,,,TRUE
San Jose,California,United States,City,37.3361905,-121.8905833,TRUE,2020-06-30 07:00:00,2020-06-30 07:00:00,,,"Evictions are suspended for tenants who can prove financial hardship related to COVID-19. No back rent repayment period is specified after the expiration of the state of emergency, though the ordinance could be added to at a later date to cover that situation. While the moratorium is in effect, all residential properties in San José will be provided with Just Cause eviction protections, similar to protections provided to many renters under the Tenant Protection Ordinance.",Legistlative Eviction Protection,https://www.sanjoseca.gov/your-government/departments-offices/housing/covid-19-resources/eviction-moratorium,,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",8,10,4,3,-5.5,0,-5,0,0,1.5,0,USA,2,,,,,TRUE
San Leandro,California,United States,City,37.7249296,-122.1560768,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants in SLO County and the cities listed who demonstrate COVID-19 related inabilities to pay rents. Tenants have 30 days after date rent is due to notify landlords in writing of inability to pay, and will have up to 90 days following termination of the state emergency declaration to repay any back due rent. Landlords are barred from collecting late fees.",Legistlative Eviction Protection,https://sanleandro.legistar.com/LegislationDetail.aspx?ID=4400155&GUID=949B54DA-5C18-4F2F-97F7-22534B557720&FullText=1,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",6,8,2,3,-5.5,0,-3,0,0,1.5,0,USA,2,,,,,FALSE
San Luis Obispo,California,United States,County,35.3540209,-120.3757163,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,"Emergency moratorium on all no-fault evictions of residential and commercial tenants in SLO County and the cities listed who demonstrate COVID-19 related inabilities to pay rents. Tenants have 30 days from date rent is due to notify landlords in writing of inability to pay, and will have up to six months following termination of the emergency declaration to repay any back due rent. Landlords are barred from collecting late fees.",Legistlative Eviction Protection,https://www.emergencyslo.org/en/resources/Current-Emergency-Information/Documents/Local-Emergency-Order-3-Corrected.pdf,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
San Marcos,Texas,United States,City,29.8826436,-97.9405828,TRUE,,,,,The San Marcos City Council passed an ordinance requiring a landlord to provide a Notice of Proposed Eviction prior to issuing an actual Notice to Vacate. The San Marcos ordinance gives tenants a 90 day period to cure any delinquency as a result of the COVID-19 pandemic.,Legistlative Eviction Protection,http://sanmarcostx.gov/2954/Documents-and-Resources,Texas Tenants' Union,Eviction Cases can Resume (Remote or In-Person),The Texas Supreme Court's most recent order states that eviction proceedings may resume on 5/19; written warnings may be posted and writs may be issued starting on 5/26. Landlords must certify that properties are not subject to CARES Act.,17.5,2,2,3,0,0,-3,0,0,13.5,0,USA,2,,,,,FALSE
San Mateo County,California,United States,County,37.496904,-122.3330573,TRUE,2020-07-28 07:00:00,2020-07-28 07:00:00,2020-07-28 07:00:00,,"Emergency moratorium on all non-payment and no-fault evictions of residential tenants who demonstrate COVID-19 related inabilities to pay rents. Landlords must provide tenants with a county Department of Housing- provided form that states the amount of rent due, and tenant must provide documentation within 14 days of receiving the form that inability to pay is due to COVID-19. Tenants then have up to 180 days after 3/31/20 to repay any back rent due. Rent increases also banned through 5/31/20 where tenant is unable to pay increase because of a COVID-19 financial hardship.",Legistlative Eviction Protection,https://drive.google.com/a/berkeley.edu/file/d/16Ma_D7BJXWj2dEP9IjMXEtDgoK5YUiNn/view?usp=sharing,San Mateo Legal Aid,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",13,8,4,3,-5.5,-2,-3,3,0,1.5,4,USA,2,,,,,FALSE
San Pablo,California,United States,City,37.9621457,-122.3455263,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,2020-05-31 07:00:00,,"San Pablo issued a moratorium on evictions for non-payment of rent and no-fault reasons, with the exception of owner-move-in evictions, and rent increases through May 31st. For tenants who can demonstrate a financial hardship due to COVID-19, the ordinance allows for a 12-month repayment period with no late fees before eviction is permitted. In order to qualify, tenants must notify their landlord of their inability to pay within 14 days of missed payment.",Legistlative Eviction Protection,http://ebho.org/our-work/covid19-housing-policy/,EBHO,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",18,8,4,3,-5.5,0,0,3,0,1.5,4,USA,2,,,,,TRUE
Santa Ana,California,United States,City,33.7494951,-117.8732213,TRUE,2020-05-31 07:00:00,2020-05-31 07:00:00,,,The City of Santa Ana has enacted a moratorium on all residential and commercial foreclosures and evictions for non-payment of rent for anyone who is unable to pay due to financial impacts related to COVID-19.,Legistlative Eviction Protection,https://www.santa-ana.org/latest-news/city-santa-ana-halts-evictions-foreclosures-during-pandemic,Tenants Together,Eviction Cases & Enforcement Suspended,"The Judicial Council of California adopted emergency rules preventing the issuance of summons and the entry of default in all foreclosure and eviction cases, including commercial, unless there is a threat to public health. The rules also postpone trials for at least 60 days. The Governor has issued an executive order banning the enforcement of eviction orders, and tolling response time for new eviction complaints, for renters affected by COVID-19 through May 31, 2020. This order still allows for local governments to pass their own stricter eviction bans. Since the Governor had previously issued an order giving local governments authority to halt evictions, slow foreclosures, and protect against utility shutoffs, several local governments have adopted coronavirus-specific eviction restrictions. Most of these require tenants to provide documentation to verify that they are unable to pay rent due to financial impacts related to COVID-19. Many county superior courts are tolling deadlines via emergency order.",12,8,2,3,-5.5,0,-1,3,0,1.5,1,USA,2,,,,,TRUE
